address_id,customer_id,address_type,customer_address,city,state,zip_code,country,region
2339,46,138.16.59.18,3215 Dexter Junction,San Jose,,8427,Philippines,BR-RS
91896,47,220.188.112.121,951 Warner Street,Jistebník,,742 82,Czech Republic,NG-RI
3450,48,240.3.136.203,8224 Dapin Trail,Xuedian,,,China,TH-72
6,49,214.246.141.215,3067 2nd Road,Kebili,,,Tunisia,JP-01
2,50,248.90.155.204,06 Comanche Crossing,Hörby,Skåne,242 35,Sweden,GR-56
012,51,221.220.218.41,70470 Grayhawk Avenue,Adani,,,Nigeria,US-AK
9992,52,204.1.33.162,192 Almo Street,Emmen,Provincie Drenthe,7804,Netherlands,NA-ER
87109,53,182.18.186.154,5 Dorton Point,Bangkal,,,Indonesia,IR-08
612,54,87.2.178.236,540 Mayfield Trail,Juancheng,,,China,DZ-22
8,55,243.3.169.182,84508 Bobwhite Pass,Kedungsinggil,,,Indonesia,PH-TAW
53,56,215.152.47.127,82 Macpherson Way,Skerries,,K34,Ireland,US-NC
1750,57,190.153.29.7,296 Bellgrove Court,Gununglarang,,,Indonesia,GN-L
35629,58,78.91.245.210,50855 Continental Trail,Kiboga,,,Uganda,US-AK
0430,59,46.67.119.145,16 Troy Trail,Ketawang,,,Indonesia,TR-76
27,60,123.58.249.247,7 Ohio Road,Akureyri,,603,Iceland,HN-YO
2442,61,229.110.210.157,6 Heffernan Road,Bemposta,Braga,4730-010,Portugal,IT-82
0,62,117.207.153.14,8371 Summer Ridge Center,Menggala,,,Indonesia,LR-LO
502,63,129.233.24.66,166 Burrows Parkway,Norfolk,Virginia,23509,United States,MH-NMU
77,64,103.119.59.194,8 Arizona Park,Tianzhu,,,China,CU-08
409,65,2.5.242.243,6537 Moulton Center,Souto,Porto,4600-661,Portugal,NC-U-A
9472,66,80.109.144.14,5 Monument Trail,Namangan Shahri,,,Uzbekistan,BR-MG
16,67,129.136.10.136,468 Oakridge Plaza,Tanggulangin,,,Indonesia,FR-C
6097,68,101.151.74.245,685 Katie Parkway,Cauday,,,Peru,CA-ON
4305,69,116.198.205.238,52510 Harbort Crossing,Zhenziliang,,,China,PK-PB
108,70,125.127.95.132,8 Emmet Circle,Hanyuan,,,China,PH-SUN
7,71,234.10.65.228,69 Transport Crossing,Serowe,,,Botswana,SN-TC
5766,72,115.249.190.66,4883 Butterfield Hill,Zuobude,,,China,CO-CHO
8,73,96.180.244.160,99931 Arrowood Terrace,Carvalhais,Coimbra,3040-662,Portugal,SE-AC
40,74,0.191.186.18,234 Moulton Trail,Palma De Mallorca,Baleares,07121,Spain,EG-WAD
33866,75,167.235.247.100,677 Crowley Parkway,Araras,,13600-000,Brazil,TH-80
65,76,5.181.62.247,09 Schiller Road,Krasnofarfornyy,,174214,Russia,MA-OUJ
1948,77,152.93.199.70,6 Dahle Parkway,Ibusuki,,574-0072,Japan,NG-FC
37239,78,78.102.218.191,5 Mcbride Park,Chakaray,,,Afghanistan,BR-SP
567,79,216.19.146.77,56 Bluestem Center,Rimbo,Stockholm,762 31,Sweden,US-PA
9,80,47.29.225.82,96 Aberg Crossing,Västerås,Västmanland,725 96,Sweden,AU-NSW
586,81,214.247.49.53,787 Independence Hill,Budayuan,,,China,PK-BA
86533,82,122.187.144.127,2 Main Plaza,Nakło nad Notecią,,61-710,Poland,PH-PLW
003,83,52.89.82.162,261 Sutherland Alley,Špišić-Bukovica,,33405,Croatia,AU-WA
625,84,113.229.50.126,9 Mcbride Center,Smara,,,Western Sahara,ET-BE
0277,85,33.72.15.168,73629 Eggendart Trail,Fort Lauderdale,Florida,33330,United States,US-MI
758,86,243.159.105.237,964 Manitowish Plaza,Folques,Coimbra,3300-265,Portugal,US-CA
8,87,111.19.174.104,13153 Melrose Pass,Sel’tso,,241551,Russia,US-NE
22,88,67.6.67.95,9 Petterle Parkway,Gambalidio,,4025,Philippines,AR-R
2,89,157.184.120.85,02980 Jackson Drive,Trollhättan,Västra Götaland,461 42,Sweden,FI-ES
1013,90,206.177.188.186,12047 Carpenter Hill,Ludgeřovice,,747 14,Czech Republic,AU-SA
26,91,13.54.115.76,1 Walton Junction,Diamante,,3105,Argentina,VU-TOB
69,92,224.109.172.34,0 Gerald Lane,Chantepie,Bretagne,35574 CEDEX,France,PF-U-A
0855,93,31.128.101.43,385 Mayfield Hill,Quiriquire,,,Venezuela,PG-WPD
6716,94,186.137.110.198,34791 Katie Center,Prokhladnyy,,366041,Russia,AU-VIC
378,95,36.241.65.76,74 Kropf Pass,Bato,,6525,Philippines,DE-BW
4,96,39.35.161.248,6 Spaight Point,R S,Gujarat,395003,India,CK-U-A
54392,97,23.177.154.119,3270 Sunfield Terrace,Naryn,,,Kyrgyzstan,US-MS
6,98,75.39.114.182,92826 Cascade Drive,Krasnyy Oktyabr’,,601974,Russia,US-AK
75,99,84.191.132.197,0 Crescent Oaks Pass,Masu,,,Indonesia,MY-13
47,100,222.142.132.18,2 International Road,Nova Viçosa,,45920-000,Brazil,KI-G
