payment_history_id,payment_id,payment_date,payment_amount,payment_method_name,payment_gateway,change_description,payment_status,transaction_reference
68,66961,9/27/2024,942,jcb,VALE S.A.,transition mission-critical web services,true,3580054592982432
69,34,2/29/2024,376,bankcard,Weatherford International plc,transition cross-platform channels,false,5602219318221592
70,38202,9/15/2024,964,mastercard,SP Plus Corporation,engineer proactive paradigms,true,5100137342883913
71,55302,2/23/2024,227,jcb,Criteo S.A.,transition bricks-and-clicks e-tailers,false,3547426584530837
72,2,3/27/2024,767,jcb,Annaly Capital Management Inc,streamline enterprise synergies,false,3545252050881971
73,117,4/3/2024,176,jcb,Trimble Inc.,utilize mission-critical convergence,true,3557313710976570
74,88,3/12/2024,510,americanexpress,Lianluo Smart Limited,leverage 24/365 functionalities,false,337941801638460
75,97984,8/26/2024,318,americanexpress,"BMC Stock Holdings, Inc.",scale cutting-edge e-markets,true,374288773942155
76,6498,9/6/2024,603,jcb,Gladstone Investment Corporation,transition revolutionary initiatives,true,3528471528351083
77,208,2/23/2024,178,jcb,"BGC Partners, Inc.",whiteboard B2C users,true,3541379910663663
78,9,5/14/2024,51,jcb,Nymox Pharmaceutical Corporation,transition sexy experiences,false,3547494059835966
79,95,1/7/2024,354,jcb,"Grand Canyon Education, Inc.",repurpose collaborative portals,true,3543085989657837
80,9764,1/24/2024,179,mastercard,"Dillard's, Inc.",monetize next-generation e-business,false,5206227691149579
81,7,12/29/2023,696,solo,pSivida Corp.,productize world-class synergies,false,6334928584694555755
82,984,4/10/2024,953,jcb,Weight Watchers International Inc,optimize cutting-edge web services,false,3549076906450277
83,04370,9/29/2024,587,diners-club-enroute,Navios Maritime Holdings Inc.,exploit impactful initiatives,true,201978848250159
84,98348,2/4/2024,623,americanexpress,Acushnet Holdings Corp.,incubate rich mindshare,true,370882642964798
85,8837,5/24/2024,151,switch,"Sensus Healthcare, Inc.",facilitate magnetic action-items,true,6331100659475102
86,4,9/13/2024,520,jcb,Axar Acquisition Corp.,optimize 24/365 eyeballs,false,3543912186776740
87,7591,5/27/2024,847,diners-club-carte-blanche,NewLink Genetics Corporation,syndicate user-centric partnerships,false,30400125162970
88,7316,5/13/2024,191,switch,"ONE Gas, Inc.",architect revolutionary portals,true,4903048603317667885
89,92198,7/30/2024,701,jcb,"Strata Skin Sciences, Inc.",revolutionize synergistic interfaces,true,3586357717428643
90,8,3/21/2024,240,mastercard,"MasTec, Inc.",seize distributed models,true,5100145284878015
91,392,5/9/2024,306,bankcard,"Viking Therapeutics, Inc.",embrace B2B functionalities,false,5602223508139796
92,2,8/31/2024,671,jcb,"NCI, Inc.",grow transparent infomediaries,true,3588396075129698
93,28,2/8/2024,342,mastercard,"American Electric Power Company, Inc.",implement dynamic metrics,true,5508903899249917
94,276,12/1/2023,785,maestro,"West Marine, Inc.",synergize robust paradigms,true,060442569975020920
95,5,5/1/2024,237,americanexpress,Nuveen Ohio Quality Municipal Income Fund,deploy front-end interfaces,false,374283233408079
96,7,7/30/2024,120,bankcard,PAR Technology Corporation,leverage cutting-edge vortals,false,5602222986166206
97,9710,5/20/2024,137,mastercard,WisdomTree Emerging Markets Quality Dividend Growth Fund,enable dot-com solutions,true,5048376495757277
98,205,4/27/2024,514,jcb,Modern Media Acquisition Corp.,facilitate end-to-end ROI,false,3563934151690362
99,1946,6/18/2024,221,visa-electron,Kearny Financial,deploy vertical experiences,true,4508380697457476
100,53178,5/5/2024,966,mastercard,Nuveen Texas Quality Municipal Income Fund,productize cross-platform interfaces,true,5100174780827631
