shipment_id,order_id,customer_address,carrier_id,tracking_number,shipment_date,estimate_delivery
35,9289,52 Meadow Ridge Pass,1774,8199,9/20/2024,3/2/2024
36,50937,9182 Armistice Trail,70,63481,9/8/2024,3/12/2024
37,8,79826 Westport Lane,28,47814,10/4/2024,6/7/2024
38,2798,9833 Texas Pass,4,84503,10/14/2024,1/28/2024
39,473,3185 Claremont Crossing,64286,0,1/24/2024,12/13/2023
40,45865,969 Melvin Road,51079,49586,4/22/2024,3/9/2024
41,04,07 Dayton Center,29,52,3/2/2024,4/18/2024
42,8,28054 Forster Pass,949,9,12/11/2023,7/20/2024
43,2,6513 Burning Wood Avenue,0406,938,12/7/2023,9/12/2024
44,594,0 Manley Park,85455,88,11/11/2023,1/8/2024
45,71643,4 Derek Crossing,77,3303,1/9/2024,7/13/2024
46,2,1 Carberry Road,435,4,7/17/2024,10/17/2024
47,8009,6 Goodland Point,95513,8896,8/23/2024,8/10/2024
48,425,9772 Reindahl Plaza,7509,00,11/28/2023,9/22/2024
49,79018,841 Hansons Crossing,2,76498,3/13/2024,10/21/2024
50,99,3 3rd Court,1,3485,12/10/2023,6/15/2024
51,70143,4675 Jackson Plaza,15767,929,1/31/2024,4/6/2024
52,9453,16226 Summit Hill,634,116,11/27/2023,6/28/2024
53,25,568 Pawling Circle,88,23103,2/2/2024,9/4/2024
54,71299,7965 Mayfield Terrace,7082,686,9/14/2024,9/15/2024
55,67,16372 Clove Parkway,63051,42,4/7/2024,4/26/2024
56,02783,9 Graceland Court,2284,959,9/10/2024,5/7/2024
57,589,726 Bartillon Circle,079,91999,3/25/2024,12/26/2023
58,8,32 Farwell Park,50,1195,11/28/2023,8/16/2024
59,919,4693 Waywood Road,81,48893,12/13/2023,12/5/2023
60,0164,85800 Superior Lane,53,45,12/18/2023,4/17/2024
61,4515,94400 Harbort Parkway,3,1008,9/16/2024,9/20/2024
62,198,20 Ronald Regan Plaza,516,572,4/22/2024,12/11/2023
63,2,179 Tennyson Plaza,41,5,4/10/2024,4/12/2024
64,2,1 Anhalt Way,4248,3751,11/3/2023,8/15/2024
65,0,56 Cardinal Hill,492,02,11/21/2023,3/23/2024
66,32,62744 Graceland Junction,8,565,1/26/2024,9/9/2024
67,18895,83 Dorton Trail,97752,07760,6/29/2024,6/5/2024
68,93098,930 Garrison Point,3,1,3/1/2024,3/15/2024
69,8,04667 Banding Road,87,452,8/18/2024,6/13/2024
70,7,9194 Surrey Park,64,4330,7/5/2024,3/31/2024
71,689,14 Evergreen Way,89065,7115,7/17/2024,1/11/2024
72,7,851 Vernon Trail,1,9328,8/23/2024,9/3/2024
73,711,12 Grasskamp Trail,75087,36,4/4/2024,10/11/2024
74,7822,81448 Declaration Circle,7,4,6/14/2024,4/22/2024
75,8,0611 Pine View Center,1,929,5/7/2024,12/22/2023
76,155,30479 Old Gate Center,7020,0,8/15/2024,2/12/2024
77,856,089 Northridge Way,561,9,4/22/2024,11/8/2023
78,6442,5061 Lakewood Gardens Center,305,50081,2/8/2024,5/28/2024
79,4,962 Ludington Crossing,560,6216,3/14/2024,2/6/2024
80,845,69993 Anthes Center,4,62,12/18/2023,4/11/2024
81,5,8 Moulton Alley,41,2,4/4/2024,12/26/2023
82,29039,5 Westridge Trail,8,4469,3/20/2024,6/9/2024
83,80533,7 Corscot Circle,40725,2,8/23/2024,1/7/2024
84,79911,08 Dahle Court,88776,1291,12/18/2023,1/16/2024
85,24786,2245 Lawn Point,11,2,10/29/2024,6/22/2024
86,152,39892 Sauthoff Way,69978,0,8/22/2024,11/2/2024
87,99,1 Randy Hill,49135,7749,7/1/2024,8/13/2024
88,3,84 Starling Parkway,341,29473,1/18/2024,1/29/2024
89,8256,583 Golf Point,74893,04,7/8/2024,7/29/2024
90,7714,6714 Pepper Wood Avenue,111,746,2/7/2024,5/22/2024
91,6,38 Blue Bill Park Place,9,7,12/22/2023,8/18/2024
92,61,071 Dahle Hill,4892,5,8/6/2024,6/16/2024
93,94,3502 Glendale Circle,437,571,11/15/2023,10/24/2024
94,761,36 Derek Circle,2417,60942,2/9/2024,6/5/2024
95,77963,8 Harbort Trail,7,02,1/16/2024,9/20/2024
96,146,2229 Warbler Center,2867,3335,1/3/2024,4/6/2024
97,3312,3356 Mayer Trail,16758,13,6/6/2024,5/25/2024
98,6,830 Tennessee Plaza,1,879,1/24/2024,3/2/2024
99,514,5502 Everett Junction,83170,4549,1/31/2024,7/28/2024
100,9,9455 Dawn Park,7659,0768,11/26/2023,7/17/2024
